,model,mse,rmse,mae,r2,mape,time,i,train,test
1178,DecisionTree,0.006099486598725196,0.07809920997503877,0.04538495376196597,0.03379061107282666,0.10457294760050337,0.008855100022628903,8,8972,9966
1179,LassoReg,0.006312807612311149,0.07945317874264786,0.03961032174068807,-1.2110495937189825e-06,0.09310768817147361,0.002409699955023825,8,8972,9966
1180,PCR,0.006279183256092965,0.07924129766790146,0.04472823950098184,0.005325166531337522,0.1024181738998228,0.009673599968664348,8,8972,9966
1181,Bagging,0.009288709362819506,0.09637795060499837,0.06617028591429133,-0.47140879024928206,0.14580372735821823,0.48759739997331053,8,8972,9966
1182,RF,0.010327957162728931,0.10162655736926707,0.07120559451265165,-0.6360342821561353,0.15582177696877672,4.243590800091624,8,8972,9966
1183,LinearReg,0.007736777215312697,0.0879589518770699,0.058721013429031396,-0.22556983517847562,0.1328695414089831,0.010365800000727177,8,8972,9966
1184,BayesRidge,0.007716092450055844,0.08784129125904197,0.0585933292726131,-0.22229319638676093,0.13259085954614935,0.005093300016596913,8,8972,9966
1185,RidgeReg,0.007736371748350409,0.08795664698219464,0.058730006231781776,-0.2255056058405598,0.13288363113650473,0.0023392000002786517,8,8972,9966
1186,PLS,0.006514510463825943,0.08071251739244628,0.04925915350038224,-0.03195261970548113,0.11176421701712469,0.007420100038871169,8,8972,9966
1187,XGBoost,0.012240713029369153,0.11063775589449179,0.07596613590232196,-0.9390307142590564,0.17023854162651328,0.19820549990981817,8,8972,9966
1188,AdaBoost,0.007234635624039139,0.08505666125612467,0.04751381148605324,0.006059823970391731,0.11609300552719717,0.3762396000092849,9,9967,10961
1189,Boosting,0.007164584878499201,0.08464387088560636,0.046335454850000436,0.01568384015741542,0.11342889704346994,1.7313346000155434,9,9967,10961
1190,DecisionTree,0.007628819757813348,0.0873431151139765,0.051215768900599576,-0.048095695073271605,0.1232362267191722,0.010499600088223815,9,9967,10961
1191,LassoReg,0.007278958390732036,0.08531681188799799,0.04280804699818048,-2.9519131073296734e-05,0.10496584408237913,0.0023457000497728586,9,9967,10961
1192,PCR,0.007269236492023098,0.08525981756972682,0.048163968571783296,0.0013061370396388883,0.11490756285204258,0.010662600048817694,9,9967,10961
1193,Bagging,0.008608628789171846,0.09278269660433375,0.06080427174698272,-0.18270808078457113,0.1433956836349634,0.4475526000605896,9,9967,10961
1194,RF,0.008071371221126611,0.08984081044339823,0.05738587153952579,-0.10889622494185991,0.13724009098315137,4.49937019997742,9,9967,10961
1195,LinearReg,0.007814433322138018,0.08839928349335202,0.055008762349754735,-0.07359646503400441,0.1315853204529766,0.01926069997716695,9,9967,10961
1196,BayesRidge,0.00780206087445758,0.08832927529679828,0.054874315550140475,-0.07189665961677649,0.1313522120365515,0.0064752999460324645,9,9967,10961
1197,RidgeReg,0.007812012786356284,0.08838559150877638,0.05498457978516977,-0.07326391645989405,0.13155965522560337,0.002028200076892972,9,9967,10961
1198,PLS,0.007405806815903075,0.0860569974836624,0.05071787405857241,-0.01745676116447248,0.12212000404457315,0.007202400011010468,9,9967,10961
1199,XGBoost,0.00925615959817273,0.09620893720529673,0.0632679027646911,-0.2716699746143538,0.15328150900919432,0.19364810001570731,9,9967,10961
1200,AdaBoost,0.007356073585882341,0.08576755555501359,0.055215952177363664,-0.08199397270041753,0.1290706955358419,0.37863160006236285,10,10962,11956
1201,Boosting,0.024204845778255976,0.15557906600264695,0.13460269260513338,-2.560254928998886,0.26807071037177577,1.727206000010483,10,10962,11956
1202,DecisionTree,0.0066910731080295155,0.08179897987157,0.04397395209001727,0.01581996301938804,0.10543995387324659,0.010595699888654053,10,10962,11956
1203,LassoReg,0.006800568844778745,0.08246556156832223,0.037392803507597515,-0.0002856027849604814,0.09211242628481872,0.00398999999742955,10,10962,11956
1204,PCR,0.006855643716225123,0.0827988147030205,0.04521977785476952,-0.008386484084815349,0.10853637513683723,0.011934700072742999,10,10962,11956
1205,Bagging,0.01115857692418645,0.10563416551564389,0.07148236773178054,-0.6412985589289095,0.1558847645795492,0.5289938999339938,10,10962,11956
1206,RF,0.011486563000202928,0.10717538430163397,0.0731666759873009,-0.6895415452498415,0.15843111470005494,5.190699600032531,10,10962,11956
1207,LinearReg,0.006997761676461697,0.08365262504226449,0.0500871404255282,-0.029290404443030216,0.11791461757530249,0.017065700027160347,10,10962,11956
1208,BayesRidge,0.006989527348825075,0.08360339316573864,0.049940687722579966,-0.02807922938230689,0.11765354508754709,0.006947799935005605,10,10962,11956
1209,RidgeReg,0.006996445387624008,0.08364475708389622,0.05006228920289727,-0.02909679346672811,0.11787264530970347,0.0026676999405026436,10,10962,11956
1210,PLS,0.006838086340687526,0.08269272241671287,0.04890197140945423,-0.005803995711592069,0.1150279042984594,0.00891340000089258,10,10962,11956
1211,XGBoost,0.012163557123113051,0.1102885176394762,0.0690136491748381,-0.7891196084639136,0.15100788071766402,0.24628610000945628,10,10962,11956
1212,AdaBoost,0.006061319749012327,0.07785447802799995,0.04549661382003033,-0.002468839317319338,0.11225096651158198,0.28105390002019703,11,11957,12951
1213,Boosting,0.006436456061489533,0.08022752683144067,0.05098070652371279,-0.06451183974079688,0.11894303674736234,2.0569955999962986,11,11957,12951
1214,DecisionTree,0.00588486659015331,0.07671288412094353,0.03967856315744425,0.026714375012216185,0.1001309432668287,0.012068900046870112,11,11957,12951
1215,LassoReg,0.006048992137042275,0.07777526687220221,0.0327250456404695,-0.00043000167553586266,0.08662744538333914,0.00447129993699491,11,11957,12951
1216,PCR,0.006070882250888872,0.07791586649000877,0.04039336171876208,-0.004050361255460322,0.10310217633199684,0.01268280006479472,11,11957,12951
