,model,mape,mae,time
208,PLS,399545142178.1092,0.045296716268604625,0.02026100002694875
43,PLS,399678238550.3212,0.044207171623399676,0.016765400068834424
32,PLS,399806564160.6737,0.04508688360691895,0.01910969999153167
274,PLS,400044674498.37836,0.04478308101635107,0.02080769999884069
316,BayesRidge,401017813010.08563,0.04545486148974482,0.016985900001600385
317,RidgeReg,401377447124.8843,0.045488533698675136,0.005245400010608137
315,LinearReg,401459514384.2741,0.045494573269006945,0.02568919991608709
158,PCR,402038971965.139,0.04461265365761273,0.032047700020484626
312,PCR,402310227462.9777,0.04466872809118374,0.05447239999193698
37,PCR,402500668428.00195,0.04323283443934003,0.030708499951288104
162,BayesRidge,402538679112.2376,0.04502864103034503,0.016631599981337786
26,PCR,402639389405.7167,0.044872412321324134,0.035248400061391294
63,BayesRidge,402687103759.3591,0.04525933570319548,0.02849580009933561
62,LinearReg,402815480038.4255,0.04531174937164732,0.055273299920372665
64,RidgeReg,402840044178.7918,0.045298904062426947,0.017058499972335994
59,PCR,402902427056.78516,0.045048932391509734,0.031502599944360554
202,PCR,402969959006.35004,0.04368714384067126,0.039071899955160916
163,RidgeReg,403022434586.1315,0.04505795005407249,0.005428500007838011
206,BayesRidge,403103311455.9294,0.045244287996628,0.01881499995943159
161,LinearReg,403149535873.8636,0.045066030778809406,0.02620680001564324
268,PCR,403427301801.4686,0.044120772762775234,0.04417529993224889
207,RidgeReg,403429861119.94336,0.04529475420248373,0.005624399986118078
205,LinearReg,403501781275.6451,0.04530629220729249,0.024208599934354424
30,BayesRidge,404502390064.45984,0.045076260251748906,0.01290920004248619
41,BayesRidge,404862243414.2771,0.044239342253631166,0.011760400026105344
31,RidgeReg,404892894822.94916,0.04510392154486992,0.008436699979938567
29,LinearReg,404974147277.80396,0.04510934388004472,0.016931899939663708
42,RidgeReg,405242107608.76575,0.044272398748752106,0.00543589994776994
272,BayesRidge,405253720768.3923,0.04480151235260073,0.016969199990853667
40,LinearReg,405321466800.58344,0.044279138005282895,0.015579400002025068
273,RidgeReg,405635049160.96326,0.04485227137941684,0.005579599994234741
271,LinearReg,405723829456.3042,0.04486413219038165,0.02419739996548742
